question;answer;book title
"Who is the author of ""The Velveteen Rabbit""?";Margery Williams.;The Velveteen Rabbit
"When was ""The Velveteen Rabbit"" published?";1922;The Velveteen Rabbit
Who illustrated the book?;William Nicholson.;The Velveteen Rabbit
What was the Velveteen Rabbit's original appearance?;He was fat and bunchy with a spotted brown and white coat, real thread whiskers, and ears lined with pink sateen.;The Velveteen Rabbit
Where was the Rabbit first placed on Christmas morning?;Wedged in the top of the Boy's stocking with a sprig of holly between his paws.;The Velveteen Rabbit
Who was the kindest toy to the Velveteen Rabbit in the nursery?;The Skin Horse.;The Velveteen Rabbit
How did the Skin Horse look?;He was so old that his brown coat was bald in patches, showed seams underneath, and most of the hairs in his tail had been pulled out to string bead necklaces.;The Velveteen Rabbit
"What does the Skin Horse say ""Real"" means?";"""Real isn't how you are made. It's a thing that happens to you. When a child loves you for a long, long time, not just to play with, but REALLY loves you, then you become Real.""";The Velveteen Rabbit
Does becoming Real hurt?;"According to the Skin Horse, ""Sometimes,"" but ""When you are Real you don't mind being hurt.""";The Velveteen Rabbit
Does becoming Real happen all at once?;"No, the Skin Horse explains: ""It doesn't happen all at once. You become. It takes a long time.""";The Velveteen Rabbit
What physical changes happen when a toy becomes Real?;Most of your hair gets loved off, your eyes drop out, you get loose in the joints and very shabby.;The Velveteen Rabbit
How did the mechanical toys treat the Velveteen Rabbit?;They were very superior and looked down upon him, pretending they were real and snubbing him.;The Velveteen Rabbit
What was Timothy?;A jointed wooden lion made by disabled soldiers.;The Velveteen Rabbit
Who was Nana?;A person who ruled the nursery and would tidy up by putting toys away in cupboards.;The Velveteen Rabbit
What did the Rabbit think real rabbits were stuffed with?;Sawdust, like himself.;The Velveteen Rabbit
Why did the other toys look down on the Velveteen Rabbit?;Because he was only made of velveteen and stuffed with sawdust, which they considered out-of-date.;The Velveteen Rabbit
How did the Rabbit end up sleeping with the Boy?;One night when the Boy couldn't find his china dog, Nana grabbed the Rabbit and gave him to the Boy to sleep with.;The Velveteen Rabbit
What did the Boy build for the Rabbit under the bedclothes?;Nice tunnels that he said were like the burrows real rabbits lived in.;The Velveteen Rabbit
How did the Boy's love affect the Rabbit's appearance?;His velveteen fur got shabbier, his tail became unsewn, and the pink rubbed off his nose where the Boy had kissed him.;The Velveteen Rabbit
What games did the Rabbit play with the Boy in the garden?;He had rides in the wheelbarrow, picnics on the grass, and lovely fairy huts were built for him under the raspberry canes.;The Velveteen Rabbit
When did the Boy declare the Rabbit was REAL?;"When Nana called him ""just a toy,"" the Boy said ""You mustn't say that. He isn't a toy. He's REAL!""";The Velveteen Rabbit
Where did the Rabbit meet the wild rabbits?;In the wood near the house, among the bracken where the Boy had made him a nest.;The Velveteen Rabbit
How did the wild rabbits differ from the Velveteen Rabbit?;They were furry and brand-new looking, could change shape when they moved, and their seams didn't show.;The Velveteen Rabbit
What did the wild rabbits ask the Velveteen Rabbit to do?;They asked him to get up and play with them, and to hop on his hind legs.;The Velveteen Rabbit
What was the Rabbit's problem when asked to dance?;He had no hind legs at all - the back of him was made all in one piece, like a pincushion.;The Velveteen Rabbit
Why did the wild rabbits run away?;"One rabbit said ""He doesn't smell right! He isn't a rabbit at all! He isn't real!""";The Velveteen Rabbit
How did the Rabbit respond when told he wasn't real?;"He cried ""I am Real! I am Real! The Boy said so!"" and nearly began to cry.";The Velveteen Rabbit
What happened to the Boy that made him ill?;He had scarlet fever - his face grew flushed, he talked in his sleep, and his body was very hot.;The Velveteen Rabbit
 Where did the Rabbit hide during the Boy's illness?;Under the bedclothes, where he stayed still because he was afraid someone might take him away.;The Velveteen Rabbit
What did the Rabbit do while the Boy was sick?;He snuggled down patiently and whispered plans for future games in the Boy's ear.;The Velveteen Rabbit
What was the doctor's order about the Boy's toys?;All the books and toys that the Boy had played with in bed must be burnt because they were full of scarlet fever germs.;The Velveteen Rabbit
What did the Rabbit think would happen when he heard about the seaside?;"He thought ""Hurrah! To-morrow we shall go to the seaside!"" because the Boy had often talked about it.";The Velveteen Rabbit
Where was the Rabbit taken to be destroyed?;He was put in a sack and carried to the end of the garden behind the fowl-house to be burned.;The Velveteen Rabbit
What caused the magical flower to grow?;A real tear that trickled down the Rabbit's shabby velvet nose and fell to the ground.;The Velveteen Rabbit
How did the magical flower look?;It had slender green leaves the color of emeralds and a blossom like a golden cup in the center.;The Velveteen Rabbit
Who emerged from the flower?;The nursery magic Fairy.;The Velveteen Rabbit
How did the Fairy appear?;She was the loveliest fairy in the world, with a dress of pearl and dew-drops, flowers around her neck and in her hair, and a face like the most perfect flower.;The Velveteen Rabbit
What is the Fairy's role?;She takes care of all the playthings that children have loved, and when they're old and worn out, she turns them into Real.;The Velveteen Rabbit
"What did the Fairy explain about the Rabbit's previous ""realness""?";"""You were Real to the Boy because he loved you. Now you shall be Real to every one.""";The Velveteen Rabbit
Where did the Fairy take the Rabbit?;Into the wood, where the wild rabbits danced in the moonlight.;The Velveteen Rabbit
What did the Fairy tell the wild rabbits?;"""I've brought you a new playfellow. You must be very kind to him and teach him all he needs to know in Rabbit-land.""";The Velveteen Rabbit
How did the Rabbit discover he had been transformed?;When something tickled his nose and he lifted his hind toe to scratch it, he realized he actually had hind legs.;The Velveteen Rabbit
What did the Rabbit look like after his transformation?; Instead of dingy velveteen, he had brown fur that was soft and shiny, his ears twitched by themselves, and his whiskers were so long they brushed the grass.;The Velveteen Rabbit
How did the Rabbit feel about using his new hind legs?;The joy was so great that he went springing about the turf, jumping sideways and whirling round like the other rabbits.;The Velveteen Rabbit
When did the Boy return to the wood?;In the Spring, when the days grew warm and sunny.;The Velveteen Rabbit
How many rabbits peeped at the Boy from the bracken?;Two rabbits.;The Velveteen Rabbit
How did the transformed Rabbit look different from the other wild rabbit?;He had strange markings under his fur, as though long ago he had been spotted, and the spots still showed through.;The Velveteen Rabbit
What did the Boy think when he saw the transformed Rabbit?;"""Why, he looks just like my old Bunny that was lost when I had scarlet fever!""";The Velveteen Rabbit
Did the Boy recognize that it was really his old toy?;No, he never knew that it really was his own Bunny, come back to look at the child who had first helped him to be Real.;The Velveteen Rabbit
Who made the Skin Horse Real?;The Boy's Uncle.;The Velveteen Rabbit
Who is traditionally credited as the author of these fables?;Aesop.;Aesops Fables for Children
"What is the moral of ""The Wolf and the Kid""?";Do not let anything turn you from your purpose.;Aesops Fables for Children
" In ""The Tortoise and the Ducks,"" why did the tortoise fall to his death?";"He opened his mouth to boast when a crow called him ""King of Tortoises,"" losing his grip on the stick the ducks were carrying him with.";Aesops Fables for Children
"What is the moral of ""The Tortoise and the Ducks""?";Foolish curiosity and vanity often lead to misfortune.;Aesops Fables for Children
"In ""The Young Crab and His Mother,"" what happened when the mother crab tried to show her son how to walk straight?";She could only walk sideways like her son and tripped and fell on her nose when she tried to turn her toes out.;Aesops Fables for Children
"What does ""The Bundle of Sticks"" teach us?";In unity is strength.;Aesops Fables for Children
"In ""The Lion and the Mouse,"" how did the mouse eventually help the lion?";The mouse gnawed through the ropes of a hunter's net that had trapped the lion.;Aesops Fables for Children
"What is the moral of ""The Boy Who Cried Wolf""?";Liars are not believed even when they speak the truth.;Aesops Fables for Children
"In ""The Town Mouse and the Country Mouse,"" why did the country mouse return home?";Despite the luxurious food in the city, he preferred his simple life with peace and security over plenty with fear and uncertainty.;Aesops Fables for Children
"What is the moral of ""The Fox and the Grapes""?";There are many who pretend to despise and belittle that which is beyond their reach.;Aesops Fables for Children
"In ""The Wolf and the Crane,"" what reward did the wolf give the crane for removing a bone from his throat?"; None - the wolf said the crane should be grateful that he didn't snap off her head when it was in his mouth.;Aesops Fables for Children
"What does ""The Ants and the Grasshopper"" teach about work and play?";There's a time for work and a time for play.;Aesops Fables for Children
"In ""The Hare and the Tortoise,"" why did the hare lose the race?";He became overconfident, took a nap during the race, and woke up too late to catch up with the steady tortoise.;Aesops Fables for Children
"What is the moral of ""The Dog in the Manger""?";Do not grudge others what you cannot enjoy yourself.;Aesops Fables for Children
"In ""The Fox and the Crow,"" how did the fox trick the crow into dropping the cheese?";He flattered the crow about her beauty and asked her to sing, saying she would be Queen of Birds if her voice matched her looks.;Aesops Fables for Children
"What happened to the ass in ""The Ass and the Load of Salt""?";After learning that falling in water dissolved his salt load, he tried the trick again but was loaded with sponges that became heavier when wet.;Aesops Fables for Children
"In ""The Eagle and the Jackdaw,"" what happened when the jackdaw tried to imitate the eagle?";His claws got tangled in a ram's wool, he couldn't escape, and was captured by the shepherd.;Aesops Fables for Children
"What is the moral of ""The North Wind and the Sun""?";Gentleness and kind persuasion win where force and bluster fail.;Aesops Fables for Children
"In ""The Wolf in Sheep's Clothing,"" how did the wolf's deception backfire?";When the shepherd wanted mutton for dinner, he accidentally chose and killed the disguised wolf.;Aesops Fables for Children
"What does ""The Goose and the Golden Egg"" teach us?";Those who have plenty want more and so lose all they have.;Aesops Fables for Children
"What is the moral of ""Look before you leap""?";"This is from ""The Fox and the Goat"" - always consider consequences before acting.";Aesops Fables for Children
"In ""The Miller, His Son, and the Ass,"" what happened when they tried to please everyone?";They ended up pleasing nobody and lost their ass when it fell into the river while being carried.;Aesops Fables for Children
"What does ""The Miser"" teach about the value of possessions?";A possession is worth no more than the use we make of it.;Aesops Fables for Children
"What is the moral of ""The Wolf and the House Dog""?";There is nothing worth so much as liberty.;Aesops Fables for Children
"In ""Mercury and the Woodman,"" why was the honest woodman rewarded?";He refused to claim golden and silver axes that weren't his, telling the truth about his simple wooden axe.;Aesops Fables for Children
"What does ""The Milkmaid and Her Pail"" warn us about?";Do not count your chickens before they are hatched.;Aesops Fables for Children
"What is the moral of ""The Cat, the Cock, and the Young Mouse""?";Do not trust alone to outward appearances.;Aesops Fables for Children
"In ""The Lion's Share,"" how did the lion divide the hunt?";He claimed all four parts for himself using different excuses, leaving nothing for his hunting partners.;Aesops Fables for Children
"What does ""The Farmer and His Sons"" teach about work?";Industry is itself a treasure.;Aesops Fables for Children
"What is the moral of ""The Two Pots""?";Equals make the best friends.;Aesops Fables for Children
"In ""The Wolf and the Lamb,"" what excuses did the wolf give for attacking the innocent lamb?";He claimed the lamb muddied his drinking water and had spoken lies about him the previous year.;Aesops Fables for Children
"In ""The Fox and the Stork,"" how did the stork get revenge on the fox?";After the fox served soup in a shallow dish the stork couldn't eat from, the stork served dinner in a tall, narrow jar the fox couldn't reach into.;Aesops Fables for Children
"What happened in ""The Dog and His Reflection""?";A dog carrying a bone saw his reflection in water, thought it was another dog with a bigger bone, and lost his own bone trying to get the other.;Aesops Fables for Children
"In ""The Crow and the Pitcher,"" how did the crow solve his problem?";He dropped pebbles into the pitcher one by one until the water level rose high enough for him to drink.;Aesops Fables for Children
"What is the moral of ""The Bees and Wasps, and the Hornet""?";Ability proves itself by deeds.;Aesops Fables for Children
"In ""The Fighting Bulls and the Frog,"" what did the old frog predict?";That the losing bull would be driven to the marsh where the frogs lived and would trample them.;Aesops Fables for Children
"What happened in ""The Ant and the Dove""?";A dove saved a drowning ant with a straw, and later the ant stung a man who was about to kill the dove with a stone.;Aesops Fables for Children
"In ""The Oak and the Reeds,"" what happened during the hurricane?";The proud, rigid oak was uprooted and destroyed, while the flexible reeds that bent with the wind survived.;Aesops Fables for Children
"What is the moral of ""The Mice and the Weasels""?";Greatness has its penalties.;Aesops Fables for Children
"In ""The Astrologer,"" what ironic event occurred?";While gazing at the stars to predict the future, the astrologer fell into a muddy hole because he wasn't watching where he was going.;Aesops Fables for Children
"What does ""The Old Lion and the Fox"" teach us?";Take warning from the misfortunes of others.;Aesops Fables for Children
"In ""The Cat and the Old Rat,"" why didn't the experienced rat fall for the cat's tricks?";He had learned from experience and recognized the cat's deceptions, advising the other mice to keep their distance.;Aesops Fables for Children
"What is the moral of ""The Monkey and the Camel""?";Do not try to ape your betters.;Aesops Fables for Children
"In ""The Lark and Her Young Ones,"" when did the mother lark know it was time to leave?";When the farmer decided to harvest the wheat himself instead of waiting for help from neighbors and friends.;Aesops Fables for Children
"What is the moral of ""The Ass in the Lion's Skin""?";A fool may deceive by his dress and appearance, but his words will soon show what he really is.;Aesops Fables for Children
"What does ""The Peacock and the Crane"" teach us?";The useful is of much more importance and value than the ornamental.;Aesops Fables for Children
"In ""The Lion and the Gnat,"" what ironic fate befell the gnat after defeating the lion?";After boasting about his victory over the king of beasts, the gnat flew into a spider's web and was eaten by the spider.;Aesops Fables for Children
"In ""The Eagle and the Beetle,"" how did the small beetle get revenge on the mighty eagle?";The beetle repeatedly found and destroyed the eagle's eggs, even when they were placed in Jupiter's lap.;Aesops Fables for Children
"What does ""The Fighting Cocks and the Eagle"" demonstrate?";Pride goes before a fall.;Aesops Fables for Children
What is the overarching purpose of Aesop's Fables?;To teach moral lessons and wisdom about human nature and behavior through animal stories that illustrate timeless truths about life, character, and consequences.;Aesops Fables for Children
What did the boys tie to their boat's stern?;A line to prevent it from sailing far away.;The Pirate Frog, and Other Tales
Who lay in wait near the floating log?;The Pirate Frog and his trusty followers.;The Pirate Frog, and Other Tales
How did the frogs take over the boys' boat?;They climbed aboard, cut the line, raised the flag, and the captain seized the helm.;The Pirate Frog, and Other Tales
What did the Pirate Frog do to the turtles basking on the shore?;Turned them on their backs and sailed away.;The Pirate Frog, and Other Tales
Who helped the turtles get back on their feet?;Mrs. Muskrat.;The Pirate Frog, and Other Tales
How did the Pirate Frog try to catch a duckling?;He used a lasso made of cord around its neck.;The Pirate Frog, and Other Tales
Who rescued the duckling from the Pirate Frog?;Uncle Peter Pelican.;The Pirate Frog, and Other Tales
What happened to the Pirate Frog’s ship at the water mill?;It was ground to bits, ending his career.;The Pirate Frog, and Other Tales
Who brought her child to the Jungle kindergarten?;Mrs. Tiger.;The Pirate Frog, and Other Tales
What did the tiger cub do at noon time?;He sat alone gnawing an ostrich bone, with feathers and bones strewn around.;The Pirate Frog, and Other Tales
What happened to the other pupils in the kindergarten?;They were missing (implied eaten by the tiger cub).;The Pirate Frog, and Other Tales
Why couldn’t the little eel be vaccinated?;He had no arms or legs.;The Pirate Frog, and Other Tales
What problem did the Snapping Turtle’s daughter have with a belt?;She had no waist to wear it.;The Pirate Frog, and Other Tales
What happened to the Rough Riders of wash day?;Their clothes were soiled by muddy-footed enemies (likely birds).;The Pirate Frog, and Other Tales
Why was the crocodile busy all day?;He had too many teeth to brush.;The Pirate Frog, and Other Tales
What happened to Jane Jenkens when she twisted her hair too tightly?;She couldn’t close her eyes.;The Pirate Frog, and Other Tales
How did the Frogtown firemen try to put out the fire?;With dandelion hoses.;The Pirate Frog, and Other Tales
Why couldn’t the porcupine remove his sweater?;His quills held it fast.;The Pirate Frog, and Other Tales
How did the monkey trick the crocodile?;He pretended to dive but hung by his tail instead.;The Pirate Frog, and Other Tales
What animal should children avoid because it makes them whine?;The Whine-os-ce-ros.;The Pirate Frog, and Other Tales
What did the frog with new spectacles mistake for a monster?;A common fly.;The Pirate Frog, and Other Tales
Why did the turtle’s friends smash his bass-drum?;They disliked the noise.;The Pirate Frog, and Other Tales
